East Asia & Pacific (IDA & IBRD countries);3.91268391
Europe & Central Asia (IDA & IBRD countries);6.994135983
Togo;2.038000107
Thailand;0.754000008
Tajikistan;11.0170002
Turkmenistan;3.913000107
Latin America & the Caribbean (IDA & IBRD countries);8.165169864
Timor-Leste;4.547999859
Middle East & North Africa (IDA & IBRD countries);11.3679246
Tonga;1.116999984
South Asia (IDA & IBRD);5.111447417
Sub-Saharan Africa (IDA & IBRD countries);6.186859417
Trinidad and Tobago;2.686000109
Tunisia;16.02199936
Turkey;13.48999977
Tuvalu;
Tanzania;1.980000019
Uganda;1.843000054
Ukraine;8.881999969
Upper middle income;6.092334945
Uruguay;8.730999947
United States;3.681999922
Uzbekistan;5.916999817
St. Vincent and the Grenadines;18.88100052
Venezuela, RB;8.800999641
British Virgin Islands;
Virgin Islands (U.S.);8.661999702
Vietnam;2.013000011
Vanuatu;4.385000229
World;5.394345858
Samoa;8.359000206
Kosovo;
Yemen, Rep.;12.90999985
South Africa;28.18099976
Zambia;11.42500019
Zimbabwe;4.953999996
